Title,Publication Year,Topic,Topic_Name,Topic_Probability,Abstract Note,DOI,Author
Application of Blockchain Technology in Smart City Infrastructure,2018,0,Topic_0_security_iot_city,0.8706677526103352,"With the rapid growth of urbanization, smart city needs efficient and sustainable intelligent solutions in the transportation, environment, energy, government affairs. The smart city infrastructure, which combines the IoT, Big Data and Energy Internet, is one of the most effective solutions. It’s facing many problems such as poor security of IoT, equipment maintenance and upgrade difficulty, high operating costs of large data center construction, poor resistance to damage, the difficulty of establishing the energy Internet users trust , user privacy is easy to leak, market model is not applicable and so on. The Blockchain is a kind of distributed P2P network common intelligence accounting technology based on cryptography. The features of open, transparent, interconnection and peer-to-peer, storage and sharing in the Blockchain are relevant to the openness, interconnection, peer-to-peer and Shared characteristics of the energy Internet. Its features of redundant storage and distribution also make up for the disadvantages of large data center’s high operation cost, poor recovery ability and the difficulties for the maintenance of IoT equipment. This paper, first introduces the role of the big data, IoT, and the energy Internet in the construction of smart city and Blockchain technology. By analyzing their respective characteristics and comparing their similarities, corresponding solutions are put forward to aim at the problems such as poor security of IoT, upgrading of equipment maintenance and upgrading, construction and operation cost of large data center, poor flexibility in anti-attack, difficulty in establishing trust in energy Internet users, user privacy leakage and inapplicability of trading market mode. A kind of architecture of P2P light-heavy backup is put forward to overcome the high cost of Blockchain data storage.",10.1109/SmartIoT.2018.00056,S. Li
A Blockchain-Based Secure Mutual Authentication System for E-Government Services,2023,0,Topic_0_security_iot_city,0.8544369876097636,"Throughout the last decade, the online e-governance platform's services have promoted engagement between individuals and institutions by completing different e-government transactions. To utilise the government platform's services, the user must first be granted access to the e-government, which is accomplished by two-factor authentication based on log-in and password through SMS or even three-factor authentication by adding smart cards. Due of the use of electronic government by the conventional techniques of the central server to transmit data, these services suffer from the issue of centralisation, which is represented by the danger of exposure to an attack that leads to a malfunction that may result in service disruption and closure. Moreover, these vulnerabilities exacerbated consumers' worries about their data's privacy and security. Blockchain technology protects and decentralises log-in information in our electronic authentication system. The evaluation demonstrated that blockchain-based authentication is feasible and manageable. By utilising blockchain technology, the proposed decentralised authentication model aims to create a secure architecture that fully protects the electronic governance platforms through the authorised access process of users, overcomes the problem of centralisation, and protects user log-in and credential information and data rights through the use of digital signatures, encryption, and hashing technologies. The results showed that the total time for the user account creation process took “0.8” seconds to generate the user's public and private keys, and less than “0.1” seconds to create the user certificate, and less than “0.1” second to create the user's transaction, while the total time for the user's access to e-government services took “0.1” second.",10.1109/ISCES58193.2023.10311497,H. H. Al-Ameri; S. Ayvaz
Identity theft on e-government/e-governance & digital forensics,2018,0,Topic_0_security_iot_city,1.0,"In the context of the rapid technological progress, the cyber-threats become a serious challenge that requires immediate and continuous action. As cybercrime poses a permanent and increasing threat, governments, corporate and individual users of the cyber-space are constantly struggling to ensure an acceptable level of security over their assets. Maliciousness on the cyber-space spans identity theft, fraud, and system intrusions. This is due to the benefits of cyberspace-low entry barriers, user anonymity, and spatial and temporal separation between users, make it a fertile field for deception and fraud. Numerous, supervised and unsupervised, techniques have been proposed and used to identify fraudulent transactions and activities that deviate from regular patterns of behaviour. For instance, neural networks and genetic algorithms were used to detect credit card fraud in a dataset covering 13 months and 50 million credit card transactions. Unsupervised methods, such as clustering analysis, have been used to identify financial fraud or to filter fake online product reviews and ratings on e-commerce websites. Blockchain technology has demonstrated its feasibility and relevance in e-commerce. Its use is now being extended to new areas, related to electronic government. The technology appears to be the most appropriate in areas that require storage and processing of large amounts of protected data. The question is what can blockchain technology do and not do to fight malicious online activity?",10.1109/ISPS.2018.8378961,A. Al-Nemrat
Blockchain Technology in Improving Transparency and Efficiency in Government Operations,2023,2,Topic_2_voting_electronic_voting systems,0.7926799640150392,"Blockchain technology has garnered significant attention and investment in various industries, including the government and public sector. This research paper explores how blockchain technology can enhance government operations by making them more transparent and efficient. A literature review and case studies of blockchain implementation in government are conducted to identify the key benefits and challenges of this technology. The paper also provides examples of blockchain applications in government, such as voting systems. This paper explores the benefits of using blockchain technology in creating a secure and transparent voting system. The proposed blockchain-based voting system uses smart contracts to automate the voting process and eliminate the need for intermediaries, ensuring the accuracy and integrity of the vote count. The use of blockchain technology also enables the creation of an immutable and transparent ledger of all voting transactions, ensuring that the election results are auditable and verifiable. The paper also discusses the potential challenges associated with implementing a blockchain-based voting system and suggests possible solutions to address these challenges.",10.1109/ECAI58194.2023.10194154,A. Nigmatov; A. Pradeep; N. Musulmonova
Using Gamification to Address the Adoption of Blockchain Technology in the Public Sector of Education,2022,0,Topic_0_security_iot_city,1.0,"The rising issue of corruption in the public sector could be solved by adopting an innovative technology, such as blockchain, which offers data transparency and immutability. We present the opportunities of using blockchain technology in the transactions of the public sector of education and a conceptual approach for the adoption of this technology by the staff of the University of West Attica. Our research has practical value for the information technology managers of the public sector who wish to integrate blockchain into public organizations because we also suggest gaming features for the main public sectors.",10.1109/EMR.2022.3220574,V. Yfantis; K. Ntalianis
Vehicle Registration and Information Management using Blockchain based Distributed Ledger from Bangladesh Perspective,2020,0,Topic_0_security_iot_city,0.5731348808783598,"Blockchain (BC) technology has gathered tremendous attention to the academia and industry due to its transparency and security by design without involving the third party. Academia and industry have adapted Blockchain with the future smart network, and they have been utilizing it in several application areas, including crypto-currency, IoT, supply chain management, smart contracts, and other major distributed applications. Alongside the growth of the BC, researchers have recognized distributed ledger as a potential for information management across the shareable platforms. However, most of the organizations still use centralized management systems that are slower and risks-associated. Therefore, to address this issue, we propose a BC-based distributed ledger framework that is capable of maintaining a vehicle registration and information management system across platforms. Our proposed framework addresses the issues in the traditional paper-based management system and ensures the process to be faster and more transparent without the direct involvement of a third party. As the Government must have the supervision capability, we introduce the system with a hybrid architecture that not only makes the user experience better but also transparent at the same time.",10.1109/TENSYMP50017.2020.9230781,M. P. Hossain; M. Khaled; S. A. Saju; S. Roy; M. Biswas; M. A. Rahaman
Blockchain Performance Analysis for Supporting Cross-Border E-Government Services,2020,0,Topic_0_security_iot_city,1.0,"With the continuous development of distributed ledger and blockchain technologies, new use cases apart from cryptocurrencies have come into the spotlight. In this article, we evaluate whether an e-government service could be a suitable candidate for a blockchain transformation. We selected as a reference test system an existing cross-border e-government service that is used for supporting goods exchanges across the European Union. We show how such an indicative paradigm can be transformed into a blockchain system. In order to do so, we deployed it in an emulated architecture for evaluating its performance under various realistic conditions. Our results show that the deployed system is able to meet the requirements, both in terms of throughput and transaction speed. Moreover, it shows clear advantages in terms of usability and synchronization between all entities.",10.1109/TEM.2020.2979325,D. Geneiatakis; Y. Soupionis; G. Steri; I. Kounelis; R. Neisse; I. Nai-Fovino
A Blockchain-based Service for Public Sector Governance,2024,0,Topic_0_security_iot_city,0.8085828283023099,"This paper investigates a blockchain-based service to overcome security, privacy, and throughput challenges in real-world public sector governance. The service framework consists of cross-chain Decentralized Identity (DID) and a catalog-based InterPlanetary File System (IPFS). The service is implemented using an open-source consortium blockchain framework. The experimental results demonstrate that enhancing public sector capacity to manage diverse data types effectively mitigates fragmentation, thereby streamlining data request fulfillment and reducing sharing costs. The proposed service contributes to a comprehensive understanding of blockchain governance and provides insights for real-world implementation.",10.1109/ICWS62655.2024.00180,J. Li; M. Zhang; X. Jia; D. Lin
Blockchain and The Public Sector: Blockchain-Based Identity Management Systems For Public Services and The Impact on Privacy and Security Risks,2023,0,Topic_0_security_iot_city,0.8917818087779968,"This study explores the implementation of blockchain-based identity management in the Republic of Indonesia as well as analyse its impact on privacy and security risks. The methodology chosen for this research is a qualitative study using exploratory approach. The research propose six research propositions and a blockchain-based architecture model for citizen’s personal identity management. This research finds that blockchain could mitigate privacy and security risks, should it be implemented by the Ministry of Home Affairs of the Republic of Indonesia.",10.1109/ICONDBTM59210.2023.10326737,O. H. Padmanegara; R. K. Putri; R. Yuliani; E. K. Masli
Blockchain Powered Government Financial System,2022,0,Topic_0_security_iot_city,1.0,"This is the century of technology and digitization. Existing problems require modern solutions. The problems that have existed through decades or even centuries can now be solved through current technologies. Blockchain is one of the technologies that is going to have an extensive and comprehensive change in people's lives. Blockchain is an emerging technology and its fields of application are being explored. The domain of field chosen in this paper for its application is the public sector. Pioneering research done in the field of public services working shows that bureaucracy, corruption can be reduced as well as on the other hand, efficiency and level of trust in public record keeping can be increased using blockchain technology. Blockchain can be used in government fund management. Whole government budgeting, funding, auditing and financial records can be brought on the blockchain network. Today, in general, the allocated funds are not traceable, there is no concrete knowledge as to how, where and what percentage of funds are being utilized and a large part of these expenditures are never shown in records due to corruption. To culminate this problem, a Blockchain system has been proposed to provide transparency and proficiency.",10.1109/ICONAT53423.2022.9726095,P. Ranjan; B. Sharma; A. Mittal; H. Gupta; A. K. Singh
Enhancing transparency and security in smart city infrastructure management with blockchain technology,2024,0,Topic_0_security_iot_city,1.0,"Smart cities spearhead smart city development uniting advanced technology to manage assets skilfully and enhance every citizen’s life in the society. However, the complication and quantum of smart city infrastructure constitute few challenges in securing transparency and safety. Blockchain technology, with its decentralised and permanent nature, offers a favourable solution to these challenges. Blockchain is also a very good solution for costly and time-consuming technologies. This paper investigates various applications of blockchain technology in domains as water, government, energy, supply chain, security, sustainable development and real-estate and provides a mechanism to implement in smart city management. The paper highlights the upcoming advantages of blockchain in smart cities but also points out the need to approach its execution with alertness, considering limitations and engrossing all stakeholders to generate smart cities that have better facilities.",10.1049/icp.2025.0906,S. Nand; V. Bhatt; D. Nand; A. Fatma
Research on the Application of Blockchain in the Safe and Trusted Sharing of Government Data,2023,0,Topic_0_security_iot_city,0.7138428344856722,"To avoid the security vulnerabilities and privacy leakage risks in the process of government data sharing, a data sharing scheme for government data based on blockchain is proposed in this paper. As one of the basic protocols for the next generation of global credit authentication and value Internet, blockchain technology has been paid more and more attention. The blockchain is used to realize data tamper-proof, distributed storage, privacy protection, traceability, and access control. Data sharing and exchange agreements between government public services have adopted blockchain technology, providing identity authentication and message permission management. Using the blockchain to record the sharing behavior and provide traceability, the smart contract is used to share and manage the data and ensure the data’s consistency on-chain and off-chain. Due to shortcomings of government data sharing, the paper designs a data-sharing scheme and technical framework based on blockchain technology. From its perspective, it takes housing provident fund data sharing, for example, to establish a provident fund chain in the industry. This blockchain application scenario has been applied to the housing provident fund industry, forming a new model of industry data sharing.",10.1109/AIBT57480.2023.00017,H. Zhang; W. Liu
Research and Application of Smart Government Approval Based on Blockchain,2022,0,Topic_0_security_iot_city,0.8689959877247388,"Traditional government approvals have low transparency and low openness. And government affairs data is stored in a centralized organization, its security depends on the security and fault tolerance of the centralized organization server. Since the server is a single point of failure, security cannot be guaranteed. Therefore, the application of blockchain technology, combined with the characteristics of blockchain’s decentralization, non-tampering and traceability, solves the security and openness issues of government approval, and improve the traceability of government data. In the process of on-chain, multi-node verification and participation, are building the entire government approval data chain. At the same time, in multiple scenarios, the government approval application combined with blockchain through experimental verification has the characteristics of security, usability, transparency and openness.",10.1109/CCAI55564.2022.9807726,C. Guo; J. Sun
Blockchain for government fund tracking using Hyperledger,2018,0,Topic_0_security_iot_city,1.0,"Blockchain is one of the technology that has created a disruptive change in many industries. Currently, Blockchain is being used in several places and there are many more applications of Blockchain yet to be discovered and implemented. Blockchain is characterized by its decentralized nature, integrity of the data stored in the chain and its openness. Due to these characteristics, another place where Blockchain can be used is to release government funds for a project. Usually when a project is allocated funds, there is no knowledge as to how these funds are being used and a large part of it is never shown in records due to corruption. To solve this problem, a system has been proposed using Blockchain to provide the transparency. This paper also gives a description about a prototype which was developed using Hyperledger Composer. It then discusses the future development of this prototype and finally, concludes with the applicability of Blockchain.",10.1109/CTEMS.2018.8769200,A. Mohite; A. Acharya
Securing Smart City Health Services Using Blockchain Technology,2024,0,Topic_0_security_iot_city,0.9633717995072999,"In smart city environments cyber security is a major issue that must be addressed across different smart service domains while delivering quality of life for citizens. Smart healthcare is an important area that ensures quality health services delivery which is reliable and effective. Smart health is an important requirement for smart city services. To explore the nuances of smart city healthcare services, the paper presents a systematic literature review using current research. The focus of this study is to highlight the important issues surrounding s-healthcare services. There are multiple issues related to data security and privacy, since smart city infrastructures are complex and make use of multiple components in exchange of information resulting in security vulnerabilities. The use of blockchain technology in tackling the security and privacy issues in smart city healthcare are explored and analysed. The paper presents the role and importance of blockchain in healthcare, issues faced by health care services and the impact of blockchain in smart healthcare services to highlight the need for secured health information exchange in smart cities.",10.1109/ZINC61849.2024.10579418,S. Belludi; H. Kopáčková
OBSC:Osmotic BlockChain based framework for Smart City Environment,2020,0,Topic_0_security_iot_city,0.837664483803493,"Osmotic computing gives a novel worldview in brilliant city design. Numerous analysts have performed to create and to made sure about shrewd city engineering of the internet of-things (IoT) worldview. Security is the fundamental worry of the present exploration. In this situation, BlockChain starts in the time of the IoT worldview. In this proposed work, the creators concentrate on the information security, administration inertness and force utilization of the framework. The proposed feasible smart city technology has ordered into three unique levels, for example, physical level, edge level, and cloud level. Where the edge level is acquainted with the neighborhood BlockChain application and the cloud is utilized for worldwide and computational reason. BlockChain application is structured on the Amazon web administrations interface. The smart city engineering is ready to lessen error just as force utilization is diminished utilizing BlockChain applications. AWS CloudWatch observing apparatus and it additionally shows the status of the worldwide BlockChain database.",10.1109/ICRCICN50933.2020.9296170,S. Hati; D. De
A Survey of Blockchain Based Government Infrastructure Information,2020,0,Topic_0_security_iot_city,0.7573546476927504,"Blockchain inherently involves a growing list of records, called blocks, each block is encrypted and distributed across the network. This attribute of Blockchain provides added security to the transmitted data, which has been extensively exploited in the finance sector. Blockchain is a recent technology that can revolutionize conventional business practices. There are multiple advantages of using Blockchain technology on an international scale, it can reduce departmentalism, increase the efficiency of administrative processes and enhance the level of trust in public recordkeeping and provide significant value to citizens. Based on state-of-the-art developments, there is a dire need to successfully demonstrate that Blockchain is a useful tool to governments all across the planet. This paper provides a comprehensive survey that offers details of the various solutions that countries across the globe have adopted for effective use of Blockchain Technology in strengthening secure information flow between nations.",10.23919/ICOMBI48604.2020.9203152,C. P. Jagrat; J. Channegowda
Resident-Centric Government EV Charging Stations using Blockchain technology,2024,0,Topic_0_security_iot_city,0.8105410472263429,"The increase in demand for Electric Vehicle (EV) charging stations has resulted in varied charging rates by the privately-owned charging stations and imposes a necessity to make immediate payments corresponding to the charging amount. To address this issue, this paper proposes a government-operated charging station using blockchain technology to ensure secure, transparent, and decentralized operations. Residents of a community are registered in a government-operated blockchain to charge their vehicles in a government-operated charging station. The authenticity of the resident is verified via a smart contract before permitting the blockchain charging transaction to occur. Using the blockchain network, the charging amount is added to the resident’s electricity bill for making the payment. This provides the resident a great relief from making immediate payment. Also, reward points are provided via the blockchain to the residents based on the energy consumed for the EV. In this process, residents benefit from uniform pricing across stations, secure transactions with cumulative payments, and automated billing with reward incentives.",10.1109/ICBDS61829.2024.10837447,P. J; K. Likhita; S. R. S. Charan; G. L. K. V. Pradhayi; C. N. Vardhan
The Application of Blockchain in Sunshine Government Affairs : ——Student Allocation System As an Example,2021,0,Topic_0_security_iot_city,0.8506108771631711,"In order to make the teaching resources fair, many cities now implement the allocation mechanism. But in the process of allocation, government staff needs to manually review a lot of work, which increased a lot of pressure to the education management department and wastes a lot of manpower and resources. Moreover, because there are persons take part in the allocation management, the public doesn’t have full trust in the allocation. In order to reduce the work pressure of government departments and improve the trust, the government should use blockchain technology to realize management system. By analyzing the business process of student allocation system, the system can store key data with alliance chain technology. Alliance chain breaks through the data barrier of information system among government departments. According to the characteristics of the alliance chain, this paper gave the overall design and business process analysis of the system, and the system experiment finally verified that the blockchain technology has very important significance and feasibility in the sunshine government. The next research work will be to design the application system by using the block chain principle, instead of using the existing block framework.",10.1109/CTMCD53128.2021.00045,J. Tang
A Study on smart city security policy based on blockchain in 5G Age,2019,0,Topic_0_security_iot_city,1.0,"The smart city is aiming for an intelligent connected society beyond the concept of U-City with simple ICT. In particular, the rapid development of information and communications, such as 5G, and blockchain, has led to a paradigm shift to a new digital urban environment. As smart energy and smart transportation are integrated or interlocked, the technical and institutional arrangement should be preceded from the time of user authentication to provide reliability, transparency, and efficiency. For this purpose, this study aims to investigate the technical and institutional plans for the implementation of safe urban life utilizing blockchain technology. In order to apply smart city services using block-chain technology, it is necessary to fully agree and practice among various stakeholders such as public, business, academia, and civic groups. It is expected to be implemented as a people-centered smart city by gradually applying the block chain-based pilot service, which is made and participated together.",10.1109/PlatCon.2019.8669406,J. -h. Noh; H. -y. Kwon
IoT Based Secure Smart City Architecture Using Blockchain,2018,0,Topic_0_security_iot_city,0.9123785144026106,"Standard security protocols are heavy weight interms of memory foot prints which make all the security protocol unfit for budgeted platforms such as Internet of Things (IoT). The blockchain (BC) is a very efficient architecture to preserve five basic cryptographic primitives, such as authenticity, integrity, confidentiality, availability and non-repudiation. Conventional adoption of blockchain in IoT causes significant energy consumption, delay, and computational overhead which are not suitable for various resource-constrained IoT devices. In our submission we change the basic architecture of blockchain and make it more efficient for IoT application. The article proposes an IoT based smart city architecture which adopted the blockchain technology preserving all the cryptographic security issues. The adoption of blockchain causes very minimal overhead on IoT platform. Comparison of all security parameters with existing literature shows that the architecture is reasonably efficient in terms of security",10.1109/ICDSBA.2018.00045,R. Paul; P. Baidya; S. Sau; K. Maity; S. Maity; S. B. Mandal
Blockchain-Based Government Information Resource Sharing,2017,0,Topic_0_security_iot_city,0.9321042225546383,"Government information resource (GIR) sharing, an important means for efficient government working, requires new technology to enhance its reliability and security. Blockchain, as an emerging technology for building decentralized applications, is gradually penetrating various fields. In this paper, we present a technical combination that consists of Blockchain structure, network sharing model and consensus algorithms. With these techniques, we design and implement a Blockchain-based GIR sharing system (BGIRSS), which is decentralized, to make the sharing procedure more efficient. The results of a series of emulational experiments show that our system is securer and more reliable than conventional sharing schemes, and can effectively promote the sharing efficiency of GIRs with lower implementation cost.",10.1109/ICPADS.2017.00112,L. Wang; W. Liu; X. Han
