Topic,Words,Frequency,Timestamp,Name
16,"big, big data, trading, protocol, schemes",3,2018.667,16_big_big data_trading_data sharing
17,"training, iot data, ml, multiple, learning",1,2018.667,17_federated_federated learning_learning...
19,"education, higher, indonesia, institutions, capital",2,2018.667,19_education_students_higher_academic
20,"construction, dlt, industry, compliance, ie",1,2018.667,20_construction_industry_40_sustainabili...
22,"corruption, tax, funds, countries, developing countries",4,2018.667,22_funds_corruption_tax_prototype
23,"protocols, consensus, blocks, protocol, via",2,2018.667,23_consensus_algorithms_consensus algori...
24,"documents, document, document verification, verification, bodies",2,2018.667,24_document_documents_document verificat...
25,"tender, procurement, fraud, blockchain smart contracts, program",2,2018.667,25_tender_tendering_procurement_project
27,"access, access control, trade, documents, crossborder",1,2018.667,27_encryption_attribute_access_access co...
28,"public value, special, conceptual, value, generation",1,2018.667,28_public value_egovernment_digital gove...
30,"uav, health, drones, uavs, cyber threats",1,2018.667,30_drones_uavs_uav_unmanned
-1,"city, iot, smart city, financial, governance",52,2019.583,-1_financial_city_iot_smart city
0,"iot, devices, things, city, smart city",23,2019.583,0_iot_devices_things_iot devices
1,"bitcoin, cryptocurrency, payment, money, cash",11,2019.583,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"health, patients, medical, healthcare, care",8,2019.583,2_health_healthcare_medical_patients
3,"amount, carbon, waste, generated, produced",2,2019.583,3_waste_recycling_waste management_green
4,"supply, product, food, supply chain, traceability",8,2019.583,4_food_supply_supply chain_traceability
5,"adoption, blockchain adoption, barriers, experts, findings",8,2019.583,5_adoption_blockchain adoption_factors_b...
6,"voting, evoting, election, votes, voting systems",9,2019.583,6_voting_evoting_election_voter
7,"energy, electricity, power, trading, electric",8,2019.583,7_energy_trading_power_energy trading
8,"covid19, pandemic, health, situation, people",5,2019.583,8_covid19_pandemic_health_spread
9,"city, smart city, cities, citizens, smart cities",9,2019.583,9_cities_city_smart city_smart cities
10,"vehicles, traffic, road, vehicular, transportation",10,2019.583,10_vehicles_parking_traffic_vehicle
11,"egovernment, open, citizens, applied, participation",7,2019.583,11_egovernment_open_citizens_governance
12,"land, registration, registry, property, land registration",11,2019.583,12_land_registration_property_land regis...
13,"cities, smart cities, urban, city, smart city",2,2019.583,13_cities_urban_smart cities_city
14,"egovernance, just, analyse, recording, members",1,2019.583,14_cybersecurity_cyber_threats_threat
15,"identity, identity management, digital identity, citizens, identities",4,2019.583,15_identity_identity management_digital ...
16,"trading, authorization, big data, big, personal data",2,2019.583,16_big_big data_trading_data sharing
17,"surveillance, matching, learning, machine, national",1,2019.583,17_federated_federated learning_learning...
18,"disruptive technologies, disruptive, systematic literature review, systematic literature, systematic",1,2019.583,18_4ir_industry_africa_transformation
19,"education, students, educational, higher, academic",4,2019.583,19_education_students_higher_academic
20,"construction, safety, asset, aim, workers",2,2019.583,20_construction_industry_40_sustainabili...
21,"latency, deep, scalability, centralization, communication",1,2019.583,21_deep_learning_deep learning_detection
23,"consensus, second, layer, structure, nodes",3,2019.583,23_consensus_algorithms_consensus algori...
25,"tendering, tender, procurement, implications, implement",1,2019.583,25_tender_tendering_procurement_project
26,"engineering, project, projects, power, investment",1,2019.583,26_energy_renewable_renewable energy_pow...
28,"citizens, egovernment, success, theory, quality",1,2019.583,28_public value_egovernment_digital gove...
29,"carbon, carbon trading, trading, emission, emissions",2,2019.583,29_carbon_emission_trading_emissions
30,"drones, uavs, uav, usage, unmanned",3,2019.583,30_drones_uavs_uav_unmanned
-1,"iot, cities, computing, city, innovation",70,2020.5,-1_financial_city_iot_smart city
0,"iot, devices, iot devices, smart cities, things",18,2020.5,0_iot_devices_things_iot devices
1,"cryptocurrency, bitcoin, dlt, recognition, banks",14,2020.5,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"health, healthcare, patients, medical, insurance",19,2020.5,2_health_healthcare_medical_patients
3,"circular, circular economy, waste, economy, ce",4,2020.5,3_waste_recycling_waste management_green
4,"food, supply, agriculture, farmers, supply chain",13,2020.5,4_food_supply_supply chain_traceability
5,"adoption, blockchain adoption, intention, factors, adoption blockchain",12,2020.5,5_adoption_blockchain adoption_factors_b...
6,"voting, evoting, ballot, voting systems, democratic",8,2020.5,6_voting_evoting_election_voter
7,"energy, trading, power, energy trading, electricity",8,2020.5,7_energy_trading_power_energy trading
8,"covid19, pandemic, health, spread, medical",20,2020.5,8_covid19_pandemic_health_spread
9,"cities, governance, smart cities, urban, sharing economy",2,2020.5,9_cities_city_smart city_smart cities
10,"vehicles, parking, vehicle, authentication, traffic",11,2020.5,10_vehicles_parking_traffic_vehicle
11,"digital government, egovernment, construction, egovernance, chinas",5,2020.5,11_egovernment_open_citizens_governance
12,"land, registration, property, land registration, records",6,2020.5,12_land_registration_property_land regis...
13,"city, smart city, cities, smart cities, urban",3,2020.5,13_cities_urban_smart cities_city
14,"malware, eg, detection, cybersecurity, ethereum",4,2020.5,14_cybersecurity_cyber_threats_threat
15,"identity, digital identity, centralized, identities, storage",3,2020.5,15_identity_identity management_digital ...
16,"web, big, big data, transaction, data sharing",7,2020.5,16_big_big data_trading_data sharing
17,"learning, federated, federated learning, fl, healthcare",3,2020.5,17_federated_federated learning_learning...
18,"china, industry, national, innovation, state",1,2020.5,18_4ir_industry_africa_transformation
19,"students, education, higher, certificates, credentials",4,2020.5,19_education_students_higher_academic
20,"construction, discussion, academic, mapping, topics",2,2020.5,20_construction_industry_40_sustainabili...
21,"learning, 5g, location, deep, deep learning",4,2020.5,21_deep_learning_deep learning_detection
22,"tax, globe, tender, projects, funds",3,2020.5,22_funds_corruption_tax_prototype
23,"consensus, consensus algorithms, algorithms, blockchain systems, cryptocurrencies",3,2020.5,23_consensus_algorithms_consensus algori...
24,"document, documents, document verification, verification, storage",2,2020.5,24_document_documents_document verificat...
25,"collaborative, loss, platforms, projects, identifies",1,2020.5,25_tender_tendering_procurement_project
26,"renewable, ce, renewable energy, energy, manufacturers",2,2020.5,26_energy_renewable_renewable energy_pow...
28,"democratic, governance, engagement, conceptual, contribute",2,2020.5,28_public value_egovernment_digital gove...
29,"emission, trading, carbon, market, transaction",1,2020.5,29_carbon_emission_trading_emissions
30,"drones, uavs, uav, monitoring, government departments",3,2020.5,30_drones_uavs_uav_unmanned
-1,"smart city, city, energy, networks, innovation",59,2021.417,-1_financial_city_iot_smart city
0,"iot, devices, attacks, iot devices, things",23,2021.417,0_iot_devices_things_iot devices
1,"bitcoin, cryptocurrency, standards, currency, money",20,2021.417,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"health, healthcare, insurance, medical, patients",15,2021.417,2_health_healthcare_medical_patients
3,"shipping, waste, products, circular, product",8,2021.417,3_waste_recycling_waste management_green
4,"food, agricultural, supply, supply chain, products",13,2021.417,4_food_supply_supply chain_traceability
5,"adoption, barriers, blockchain adoption, supply, supply chain",8,2021.417,5_adoption_blockchain adoption_factors_b...
6,"voting, election, evoting, voting systems, electronic",10,2021.417,6_voting_evoting_election_voter
7,"energy, trading, energy trading, peertopeer, power",11,2021.417,7_energy_trading_power_energy trading
8,"covid19, pandemic, health, contact, tracing",12,2021.417,8_covid19_pandemic_health_spread
9,"cities, smart cities, city, smart city, citizens",7,2021.417,9_cities_city_smart city_smart cities
10,"vehicles, parking, traffic, vehicular, vehicle",9,2021.417,10_vehicles_parking_traffic_vehicle
11,"egovernment, government services, affairs, citizens, citizen",10,2021.417,11_egovernment_open_citizens_governance
12,"land, registration, real estate, estate, land registration",8,2021.417,12_land_registration_property_land regis...
13,"cities, smart cities, greenhouse, urban, city",11,2021.417,13_cities_urban_smart cities_city
14,"cyber, defense, cyber security, cybersecurity, threats",3,2021.417,14_cybersecurity_cyber_threats_threat
15,"identity, digital identity, identity management, identity verification, verification",5,2021.417,15_identity_identity management_digital ...
16,"big data, big, data privacy, protection, data sharing",5,2021.417,16_big_big data_trading_data sharing
17,"federated, fl, federated learning, learning, training",7,2021.417,17_federated_federated learning_learning...
18,"business models, green, agrifood, transformation, digital transformation",3,2021.417,18_4ir_industry_africa_transformation
19,"documents, education, certificates, file, required",2,2021.417,19_education_students_higher_academic
20,"construction, environmental, monitoring, trustworthy, created",1,2021.417,20_construction_industry_40_sustainabili...
21,"manufacturing, deep learning, deep, layer, learning",2,2021.417,21_deep_learning_deep learning_detection
22,"tax, funds, corruption, accountability, accounting",5,2021.417,22_funds_corruption_tax_prototype
23,"consensus, consensus algorithm, algorithm, consensus algorithms, algorithms",1,2021.417,23_consensus_algorithms_consensus algori...
24,"documents, document, verification, document verification, verify",3,2021.417,24_document_documents_document verificat...
25,"tender, tendering, procurement, project, scientific",5,2021.417,25_tender_tendering_procurement_project
26,"energy, renewable, renewable energy, sustainable, power",5,2021.417,26_energy_renewable_renewable energy_pow...
27,"encryption, attribute, access, attributes, access control",4,2021.417,27_encryption_attribute_access_access co...
28,"egovernment, public services, citizens, modern, contribute",1,2021.417,28_public value_egovernment_digital gove...
29,"carbon, carbon trading, trading, emissions, carbon emissions",1,2021.417,29_carbon_emission_trading_emissions
30,"drones, traffic, monitoring, congestion, uavs",1,2021.417,30_drones_uavs_uav_unmanned
-1,"financial, quantum, access, communication, iot",83,2022.333,-1_financial_city_iot_smart city
0,"iot, devices, authentication, things, internet things",16,2022.333,0_iot_devices_things_iot devices
1,"bitcoin, cryptocurrency, money, international, standardization",13,2022.333,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"health, healthcare, patient, patients, medical",15,2022.333,2_health_healthcare_medical_patients
3,"waste, waste management, retailer, manufacturers, supply",17,2022.333,3_waste_recycling_waste management_green
4,"farmers, supply, supply chain, food, traceability",12,2022.333,4_food_supply_supply chain_traceability
5,"adoption, factors, public sector, barriers, firm",16,2022.333,5_adoption_blockchain adoption_factors_b...
6,"voting, evoting, election, voter, evoting systems",13,2022.333,6_voting_evoting_election_voter
7,"energy, p2p, trading, marketplace, energy trading",6,2022.333,7_energy_trading_power_energy trading
8,"covid19, apps, tracing, contact, pandemic",4,2022.333,8_covid19_pandemic_health_spread
9,"cities, urban, smart cities, city, smart city",11,2022.333,9_cities_city_smart city_smart cities
10,"vehicles, vehicle, data quality, transportation, quality",4,2022.333,10_vehicles_parking_traffic_vehicle
11,"egovernment, ecosystem, citizens, data sharing, public sector",6,2022.333,11_egovernment_open_citizens_governance
12,"land, registration, property, land registration, land records",9,2022.333,12_land_registration_property_land regis...
13,"cities, air, smart cities, green, urban",2,2022.333,13_cities_urban_smart cities_city
14,"cyber, international, cyberattacks, law, cybersecurity",3,2022.333,14_cybersecurity_cyber_threats_threat
15,"identity, identity management, identification, third parties, documents",6,2022.333,15_identity_identity management_digital ...
16,"data sharing, authorization, big, big data, access",6,2022.333,16_big_big data_trading_data sharing
17,"federated, training, learning, iotbased, data exchange",3,2022.333,17_federated_federated learning_learning...
18,"4ir, africa, sustainable development, sustainable, industry",5,2022.333,18_4ir_industry_africa_transformation
19,"education, ecommerce, students, 10, 20",2,2022.333,19_education_students_higher_academic
20,"construction, industry, projects, stakeholders, sustainability",9,2022.333,20_construction_industry_40_sustainabili...
21,"deep, deep learning, learning, industrial, detection",5,2022.333,21_deep_learning_deep learning_detection
22,"funds, prototype, state, corruption, tax",3,2022.333,22_funds_corruption_tax_prototype
23,"consensus, byzantine, protocols, fault, algorithms",4,2022.333,23_consensus_algorithms_consensus algori...
24,"document, documents, verification, document verification, certificates",5,2022.333,24_document_documents_document verificat...
25,"tender, tendering, auction, procurement, allocation",4,2022.333,25_tender_tendering_procurement_project
26,"energy, renewable, renewable energy, finance, sustainable",3,2022.333,26_energy_renewable_renewable energy_pow...
27,"encryption, attribute, communication, data security, realize",1,2022.333,27_encryption_attribute_access_access co...
28,"public value, value, creation, towards, societal",2,2022.333,28_public value_egovernment_digital gove...
29,"carbon, emissions, emission, market, carbon emissions",3,2022.333,29_carbon_emission_trading_emissions
30,"uavs, uav, drones, privacy security, survey",3,2022.333,30_drones_uavs_uav_unmanned
-1,"financial, energy, cities, city, smart city",92,2023.25,-1_financial_city_iot_smart city
0,"iot, devices, things, internet things, things iot",21,2023.25,0_iot_devices_things_iot devices
1,"bitcoin, cryptocurrency, currencies, cryptocurrencies, currency",9,2023.25,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"healthcare, health, medical, patients, patient",13,2023.25,2_health_healthcare_medical_patients
3,"waste, green, recycling, supply, bt",21,2023.25,3_waste_recycling_waste management_green
4,"food, traceability, product, products, supply",15,2023.25,4_food_supply_supply chain_traceability
5,"adoption, barriers, blockchain adoption, public sector, factors",15,2023.25,5_adoption_blockchain adoption_factors_b...
6,"voting, evoting, voting systems, election, electronic",7,2023.25,6_voting_evoting_election_voter
7,"energy, trading, renewable, renewable energy, power",10,2023.25,7_energy_trading_power_energy trading
8,"covid19, pandemic, patients, certificates, healthcare",6,2023.25,8_covid19_pandemic_health_spread
9,"city, cities, smart city, smart cities, urban",7,2023.25,9_cities_city_smart city_smart cities
10,"parking, traffic, vehicles, vehicular, communication",6,2023.25,10_vehicles_parking_traffic_vehicle
11,"egovernance, governance, egovernment, rural, platforms",3,2023.25,11_egovernment_open_citizens_governance
12,"land, registration, land registration, property, registry",4,2023.25,12_land_registration_property_land regis...
13,"urban, cities, smart cities, metaverse, energy",8,2023.25,13_cities_urban_smart cities_city
14,"cybersecurity, threats, cyber, cyber threats, threat",7,2023.25,14_cybersecurity_cyber_threats_threat
15,"identity, identity management, digital identity, passport, verification",10,2023.25,15_identity_identity management_digital ...
16,"circulation, audit, bt, protection, data protection",3,2023.25,16_big_big data_trading_data sharing
17,"federated, federated learning, learning, fl, training",4,2023.25,17_federated_federated learning_learning...
18,"industry, 4ir, logistics, environmental, africa",8,2023.25,18_4ir_industry_africa_transformation
19,"education, higher, students, institutions, certificates",5,2023.25,19_education_students_higher_academic
20,"construction, building, bt, 40, buildings",4,2023.25,20_construction_industry_40_sustainabili...
21,"deep, deep learning, learning, relation, cities",6,2023.25,21_deep_learning_deep learning_detection
22,"every, cash, machine, state, proof",1,2023.25,22_funds_corruption_tax_prototype
23,"consensus, throughput, fintech, message, permissioned",2,2023.25,23_consensus_algorithms_consensus algori...
24,"document, document verification, verification, documents, electronic",4,2023.25,24_document_documents_document verificat...
25,"procurement, tender, tendering, procedures, encryption",3,2023.25,25_tender_tendering_procurement_project
26,"energy, mining, renewable, electricity, renewable energy",3,2023.25,26_energy_renewable_renewable energy_pow...
27,"encryption, attribute, identity, access control, access",5,2023.25,27_encryption_attribute_access_access co...
28,"digital government, public value, government services, egovernment, acceptance",2,2023.25,28_public value_egovernment_digital gove...
29,"carbon, emission, emissions, credit, trading",4,2023.25,29_carbon_emission_trading_emissions
-1,"energy, financial, city, smart city, iot",64,2024.167,-1_financial_city_iot_smart city
0,"iot, authentication, devices, mining, edge",8,2024.167,0_iot_devices_things_iot devices
1,"cryptocurrency, bitcoin, cryptocurrencies, price, financial",5,2024.167,1_bitcoin_cryptocurrency_cryptocurrencie...
2,"drug, health, healthcare, patients, medical",7,2024.167,2_health_healthcare_medical_patients
3,"waste, recycling, manufacturers, carbon, green",23,2024.167,3_waste_recycling_waste management_green
4,"food, traceability, supply, consumers, supply chain",7,2024.167,4_food_supply_supply chain_traceability
5,"adoption, blockchain adoption, intention, perceived, factors",10,2024.167,5_adoption_blockchain adoption_factors_b...
6,"voting, evoting, servers, voter, voting systems",4,2024.167,6_voting_evoting_election_voter
7,"energy, trading, market, electric, shared",5,2024.167,7_energy_trading_power_energy trading
8,"health, interventions, covid19, health care, care",3,2024.167,8_covid19_pandemic_health_spread
9,"urban, cities, smart cities, city, smart city",4,2024.167,9_cities_city_smart city_smart cities
10,"parking, search, fair, allocation, local",1,2024.167,10_vehicles_parking_traffic_vehicle
11,"open, egovernment, asset, governance, citizens",5,2024.167,11_egovernment_open_citizens_governance
12,"land, registration, property, real estate, estate",3,2024.167,12_land_registration_property_land regis...
13,"urban, cities, iot, smart cities, energy",11,2024.167,13_cities_urban_smart cities_city
14,"cybersecurity, threats, cyber, threat, detection",11,2024.167,14_cybersecurity_cyber_threats_threat
15,"identity, digital identity, phase, identity management, face",2,2024.167,15_identity_identity management_digital ...
16,"access, data quality, quality, circulation, ai",3,2024.167,16_big_big data_trading_data sharing
17,"federated, federated learning, training, learning, fl",5,2024.167,17_federated_federated learning_learning...
18,"sdgs, industry, 50, sustainable, food",5,2024.167,18_4ir_industry_africa_transformation
19,"academic, educational, education, evaluation, verification",1,2024.167,19_education_students_higher_academic
20,"construction, 40, supply, sustainability, industry",2,2024.167,20_construction_industry_40_sustainabili...
21,"anomaly, deep, detection, learning, authentication",2,2024.167,21_deep_learning_deep learning_detection
22,"funds, corruption, accountability, financial, employs",2,2024.167,22_funds_corruption_tax_prototype
23,"consensus, socioeconomic, ledger, consortium, consensus mechanisms",2,2024.167,23_consensus_algorithms_consensus algori...
24,"document, documents, verification, document verification, content",2,2024.167,24_document_documents_document verificat...
25,"tender, bank, consensus mechanisms, selection, involves",2,2024.167,25_tender_tendering_procurement_project
26,"energy, green, renewable, renewable energy, solar",2,2024.167,26_energy_renewable_renewable energy_pow...
27,"attribute, access, encryption, access control, scheme",4,2024.167,27_encryption_attribute_access_access co...
28,"egovernment, digital government, citizens, effects, public services",5,2024.167,28_public value_egovernment_digital gove...
29,"carbon, market, emissions, emission, trading",3,2024.167,29_carbon_emission_trading_emissions
30,"uavs, drones, uav, serious, unmanned",1,2024.167,30_drones_uavs_uav_unmanned
-1,"scalability, iot, device, optimization, devices",1,2025.083,-1_financial_city_iot_smart city
3,"green, production, investment, blockchain adoption, adoption",1,2025.083,3_waste_recycling_waste management_green
5,"solar, positively, intention, perceived, actual",1,2025.083,5_adoption_blockchain adoption_factors_b...
17,"privacypreserving, federated, federated learning, computation, learning",1,2025.083,17_federated_federated learning_learning...
